field,date,product,volume_net,volume_gross,unit,avg_lat,avg_lon,fldMainArea,status,hc_type
BRAGE,2002-02-01,NGL,0.01008,0.0,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2002-02-01,Oil,0.18859,0.19053,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2002-03-01,Gas,0.0028,0.00741,bill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2002-03-01,NGL,0.00262,0.0,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2002-03-01,Oil,0.07173,0.07215,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2002-04-01,Gas,0.00967,0.02076,bill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2002-04-01,NGL,0.00949,0.0,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2002-04-01,Oil,0.20528,0.20851,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2002-05-01,Gas,0.01228,0.02479,bill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2002-05-01,NGL,0.01223,0.0,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2002-05-01,Oil,0.22692,0.22805,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2002-06-01,Gas,0.01066,0.02101,bill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2002-06-01,NGL,0.01087,0.0,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2002-06-01,Oil,0.18745,0.18881,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2002-07-01,Gas,0.00791,0.01691,bill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2002-07-01,NGL,0.0077,0.0,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2002-07-01,Oil,0.15701,0.158,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2002-08-01,Gas,0.00822,0.02133,bill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2002-08-01,NGL,0.00747,0.0,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2002-08-01,Oil,0.18835,0.19188,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2002-09-01,Gas,0.01035,0.02165,bill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BRAGE,2002-09-01,NGL,0.00982,0.0,mill_sm3,60.54394627941177,3.048910735294118,North sea,Producing,OIL
