field,date,product,volume,unit
SNORRE,2000-02-01,Gas,0.12301,bill_sm3
SNORRE,2000-03-01,Gas,0.10952,bill_sm3
SNORRE,2000-04-01,Gas,0.08953,bill_sm3
SNORRE,2000-05-01,Gas,0.1238,bill_sm3
SNORRE,2000-06-01,Gas,0.13081,bill_sm3
SNORRE,2000-07-01,Gas,0.14664,bill_sm3
SNORRE,2000-08-01,Gas,0.13081,bill_sm3
SNORRE,2000-09-01,Gas,0.05024,bill_sm3
SNORRE,2000-10-01,Gas,0.12425,bill_sm3
SNORRE,2000-11-01,Gas,0.14022,bill_sm3
SNORRE,2000-12-01,Gas,0.16194,bill_sm3
SNORRE,2001-01-01,Gas,0.15462,bill_sm3
SNORRE,2001-02-01,Gas,0.11612,bill_sm3
SNORRE,2001-03-01,Gas,0.11387,bill_sm3
SNORRE,2001-04-01,Gas,0.13313,bill_sm3
SNORRE,2001-05-01,Gas,0.12354,bill_sm3
SNORRE,2001-06-01,Gas,0.13557,bill_sm3
SNORRE,2001-07-01,Gas,0.20233,bill_sm3
SNORRE,2001-08-01,Gas,0.22086,bill_sm3
SNORRE,2001-09-01,Gas,0.18497,bill_sm3
SNORRE,2001-10-01,Gas,0.16887,bill_sm3
SNORRE,2001-11-01,Gas,0.14999,bill_sm3
SNORRE,2001-12-01,Gas,0.17587,bill_sm3
SNORRE,2002-01-01,Gas,0.19238,bill_sm3
SNORRE,2002-02-01,Gas,0.13631,bill_sm3
SNORRE,2002-03-01,Gas,0.16539,bill_sm3
SNORRE,2002-04-01,Gas,0.16137,bill_sm3
SNORRE,2002-05-01,Gas,0.16546,bill_sm3
SNORRE,2002-06-01,Gas,0.16605,bill_sm3
SNORRE,2002-07-01,Gas,0.17112,bill_sm3
SNORRE,2002-08-01,Gas,0.1528,bill_sm3
SNORRE,2002-09-01,Gas,0.07142,bill_sm3
SNORRE,2002-10-01,Gas,0.13181,bill_sm3
SNORRE,2002-11-01,Gas,0.19112,bill_sm3
SNORRE,2002-12-01,Gas,0.22275,bill_sm3
SNORRE,2003-01-01,Gas,0.13724,bill_sm3
SNORRE,2003-02-01,Gas,0.15095,bill_sm3
SNORRE,2003-03-01,Gas,0.17418,bill_sm3
SNORRE,2003-04-01,Gas,0.14676,bill_sm3
SNORRE,2003-05-01,Gas,0.16827,bill_sm3
SNORRE,2003-06-01,Gas,0.12737,bill_sm3
SNORRE,2003-07-01,Gas,0.18825,bill_sm3
SNORRE,2003-08-01,Gas,0.19413,bill_sm3
SNORRE,2003-09-01,Gas,0.18248,bill_sm3
SNORRE,2003-10-01,Gas,0.21621,bill_sm3
SNORRE,2003-11-01,Gas,0.22129,bill_sm3
SNORRE,2003-12-01,Gas,0.19099,bill_sm3
SNORRE,2004-01-01,Gas,0.19558,bill_sm3
SNORRE,2004-02-01,Gas,0.17209,bill_sm3
SNORRE,2004-03-01,Gas,0.19412,bill_sm3
SNORRE,2004-04-01,Gas,0.18036,bill_sm3
SNORRE,2004-05-01,Gas,0.2084,bill_sm3
SNORRE,2004-06-01,Gas,0.13882,bill_sm3
SNORRE,2004-07-01,Gas,0.19586,bill_sm3
SNORRE,2004-08-01,Gas,0.13146,bill_sm3
SNORRE,2004-09-01,Gas,0.1516,bill_sm3
SNORRE,2004-10-01,Gas,0.22146,bill_sm3
SNORRE,2004-11-01,Gas,0.19156,bill_sm3
SNORRE,2004-12-01,Gas,0.06803,bill_sm3
SNORRE,2005-01-01,Gas,0.08091,bill_sm3
SNORRE,2005-02-01,Gas,0.1167,bill_sm3
SNORRE,2005-03-01,Gas,0.14826,bill_sm3
SNORRE,2005-04-01,Gas,0.14645,bill_sm3
SNORRE,2005-05-01,Gas,0.16729,bill_sm3
SNORRE,2005-06-01,Gas,0.11948,bill_sm3
SNORRE,2005-07-01,Gas,0.14766,bill_sm3
SNORRE,2005-08-01,Gas,0.14259,bill_sm3
SNORRE,2005-09-01,Gas,0.15023,bill_sm3
SNORRE,2005-10-01,Gas,0.12219,bill_sm3
SNORRE,2005-11-01,Gas,0.14023,bill_sm3
SNORRE,2005-12-01,Gas,0.1578,bill_sm3
SNORRE,2006-01-01,Gas,0.1696,bill_sm3
SNORRE,2006-02-01,Gas,0.12687,bill_sm3
SNORRE,2006-03-01,Gas,0.12904,bill_sm3
SNORRE,2006-04-01,Gas,0.05431,bill_sm3
SNORRE,2006-05-01,Gas,0.10773,bill_sm3
