fldName,avg_lat,avg_lon,fldMainArea,status,hc_type
ULA,57.10968413333333,2.8489858166666666,North sea,Producing,OIL
URD,66.06839599999999,8.2261224,Norwegian sea,Producing,OIL
UTGARD,58.3660342,1.5550164,North sea,Producing,GAS
VALE,59.7073075,2.31234575,North sea,Shut down,GAS/CONDENSATE
VALEMON,61.04184472413793,2.3425824137931035,North sea,Producing,GAS/CONDENSATE
VALHALL,56.27504647413793,3.392900823275862,North sea,Producing,OIL
VARG,58.077391428571424,1.8913581428571429,North sea,Shut down,OIL
VEGA,61.240748470588244,3.4028868235294114,North sea,Producing,GAS/CONDENSATE
VERDANDE,66.09354642857143,8.064052285714286,Norwegian sea,Approved for production,OIL/GAS
VESLEFRIKK,60.78249317721519,2.8971559746835442,North sea,Shut down,OIL
VEST EKOFISK,56.56324804761905,3.0857034285714287,North sea,Shut down,GAS/CONDENSATE
VIGDIS,61.372023625,2.0981225277777775,North sea,Producing,OIL
VILJE,59.65814722222222,2.278356555555556,North sea,Producing,OIL
VISUND,61.38026391089109,2.4838177722772277,North sea,Producing,OIL/GAS
VISUND SØR,61.303640384615385,2.3571722307692307,North sea,Producing,OIL/GAS
VOLUND,59.49286761538462,1.9633255769230769,North sea,Producing,OIL
VOLVE,58.440553111111115,1.8953131851851852,North sea,Shut down,OIL
YME,57.7927902631579,4.46206049122807,North sea,Producing,OIL
YTTERGRYTA,65.111594,7.509225,Norwegian sea,Shut down,GAS
ÅSGARD,65.07979386821705,6.9215106046511625,Norwegian sea,Producing,GAS/CONDENSATE
ÆRFUGL NORD,65.92709833333333,7.7114769999999995,Norwegian sea,Producing,GAS/CONDENSATE
ØRN,65.853861,7.389183,Norwegian sea,Approved for production,GAS
ØST FRIGG,59.90219552941176,2.370496352941177,North sea,Shut down,GAS
