field,date,product,volume,unit
STATFJORD ØST,2014-01-01,Oil,0.0225,mill_sm3
STATFJORD ØST,2014-02-01,Oil,0.02303,mill_sm3
STATFJORD ØST,2014-03-01,Oil,0.02272,mill_sm3
STATFJORD ØST,2014-04-01,Oil,0.01942,mill_sm3
STATFJORD ØST,2014-05-01,Oil,0.01308,mill_sm3
STATFJORD ØST,2014-06-01,Oil,0.01945,mill_sm3
STATFJORD ØST,2014-07-01,Oil,0.0192,mill_sm3
STATFJORD ØST,2014-08-01,Oil,0.01664,mill_sm3
STATFJORD ØST,2014-09-01,Oil,0.0123,mill_sm3
STATFJORD ØST,2014-10-01,Oil,0.02026,mill_sm3
STATFJORD ØST,2014-11-01,Oil,0.02196,mill_sm3
STATFJORD ØST,2014-12-01,Oil,0.01496,mill_sm3
STATFJORD ØST,2015-01-01,Oil,0.01953,mill_sm3
STATFJORD ØST,2015-02-01,Oil,0.02192,mill_sm3
STATFJORD ØST,2015-03-01,Oil,0.01195,mill_sm3
STATFJORD ØST,2015-04-01,Oil,0.01708,mill_sm3
STATFJORD ØST,2015-05-01,Oil,0.01895,mill_sm3
STATFJORD ØST,2015-06-01,Oil,0.01743,mill_sm3
STATFJORD ØST,2015-07-01,Oil,0.02091,mill_sm3
STATFJORD ØST,2015-08-01,Oil,0.01998,mill_sm3
STATFJORD ØST,2015-09-01,Oil,0.02121,mill_sm3
STATFJORD ØST,2015-10-01,Oil,0.01227,mill_sm3
STATFJORD ØST,2015-11-01,Oil,0.01372,mill_sm3
STATFJORD ØST,2015-12-01,Oil,0.01435,mill_sm3
STATFJORD ØST,2016-01-01,Oil,0.02333,mill_sm3
STATFJORD ØST,2016-02-01,Oil,0.01842,mill_sm3
STATFJORD ØST,2016-03-01,Oil,0.02115,mill_sm3
STATFJORD ØST,2016-04-01,Oil,0.01555,mill_sm3
STATFJORD ØST,2016-05-01,Oil,0.00127,mill_sm3
STATFJORD ØST,2016-06-01,Oil,0.01355,mill_sm3
STATFJORD ØST,2016-07-01,Oil,0.02712,mill_sm3
STATFJORD ØST,2016-08-01,Oil,0.02253,mill_sm3
STATFJORD ØST,2016-09-01,Oil,0.01297,mill_sm3
STATFJORD ØST,2016-10-01,Oil,0.0146,mill_sm3
STATFJORD ØST,2016-11-01,Oil,0.02092,mill_sm3
STATFJORD ØST,2016-12-01,Oil,0.02711,mill_sm3
STATFJORD ØST,2017-01-01,Oil,0.02336,mill_sm3
STATFJORD ØST,2017-02-01,Oil,0.01447,mill_sm3
STATFJORD ØST,2017-03-01,Oil,0.01649,mill_sm3
STATFJORD ØST,2017-04-01,Oil,0.01553,mill_sm3
STATFJORD ØST,2017-05-01,Oil,0.01352,mill_sm3
STATFJORD ØST,2017-06-01,Oil,0.01296,mill_sm3
STATFJORD ØST,2017-07-01,Oil,0.01352,mill_sm3
STATFJORD ØST,2017-08-01,Oil,0.01292,mill_sm3
STATFJORD ØST,2017-09-01,Oil,0.01932,mill_sm3
STATFJORD ØST,2017-10-01,Oil,0.02034,mill_sm3
STATFJORD ØST,2017-11-01,Oil,0.0164,mill_sm3
STATFJORD ØST,2017-12-01,Oil,0.02043,mill_sm3
STATFJORD ØST,2018-01-01,Oil,0.01113,mill_sm3
STATFJORD ØST,2018-02-01,Oil,0.00827,mill_sm3
STATFJORD ØST,2018-03-01,Oil,0.01659,mill_sm3
STATFJORD ØST,2018-04-01,Oil,0.01,mill_sm3
STATFJORD ØST,2018-05-01,Oil,0.01059,mill_sm3
STATFJORD ØST,2018-06-01,Oil,0.01435,mill_sm3
STATFJORD ØST,2018-07-01,Oil,0.01164,mill_sm3
STATFJORD ØST,2018-08-01,Oil,0.01843,mill_sm3
STATFJORD ØST,2018-09-01,Oil,0.0069,mill_sm3
STATFJORD ØST,2018-10-01,Oil,0.00985,mill_sm3
STATFJORD ØST,2018-11-01,Oil,0.01354,mill_sm3
STATFJORD ØST,2018-12-01,Oil,0.01078,mill_sm3
STATFJORD ØST,2019-01-01,Oil,0.01458,mill_sm3
STATFJORD ØST,2019-02-01,Oil,0.01021,mill_sm3
STATFJORD ØST,2019-03-01,Oil,0.01513,mill_sm3
STATFJORD ØST,2019-04-01,Oil,0.01445,mill_sm3
STATFJORD ØST,2019-05-01,Oil,0.01003,mill_sm3
STATFJORD ØST,2019-06-01,Oil,0.00696,mill_sm3
STATFJORD ØST,2019-07-01,Oil,0.00857,mill_sm3
STATFJORD ØST,2019-08-01,Oil,0.01763,mill_sm3
STATFJORD ØST,2019-09-01,Oil,0.01175,mill_sm3
STATFJORD ØST,2019-10-01,Oil,0.00047,mill_sm3
STATFJORD ØST,2019-11-01,Oil,0.00318,mill_sm3
STATFJORD ØST,2019-12-01,Oil,0.01392,mill_sm3
STATFJORD ØST,2020-01-01,Oil,0.01573,mill_sm3
STATFJORD ØST,2020-02-01,Oil,0.01166,mill_sm3
STATFJORD ØST,2020-03-01,Oil,0.01602,mill_sm3
STATFJORD ØST,2020-04-01,Oil,0.01828,mill_sm3
STATFJORD ØST,2020-05-01,Oil,0.01561,mill_sm3
STATFJORD ØST,2020-06-01,Oil,0.01338,mill_sm3
STATFJORD ØST,2020-07-01,Oil,0.01254,mill_sm3
STATFJORD ØST,2020-08-01,Oil,0.01312,mill_sm3
STATFJORD ØST,2020-09-01,Oil,0.01401,mill_sm3
STATFJORD ØST,2020-10-01,Oil,0.02018,mill_sm3
STATFJORD ØST,2020-11-01,Oil,0.01732,mill_sm3
STATFJORD ØST,2020-12-01,Oil,0.01826,mill_sm3
STATFJORD ØST,2021-01-01,Oil,0.01594,mill_sm3
STATFJORD ØST,2021-02-01,Oil,0.01362,mill_sm3
STATFJORD ØST,2021-03-01,Oil,0.02005,mill_sm3
STATFJORD ØST,2021-04-01,Oil,0.01463,mill_sm3
